feature,importance
AverageHopCount,0.23723046452870916
RoutingOverhead,0.1769890061013359
NormalizedRoutingLoad,0.17178088513199474
MACDataPacketsPerSec,0.17009473957033458
TCPacketsPerSec,0.07377036396748
Throughput,0.04734777825779877
Jitter,0.04059045355113475
AverageTCPacketRows,0.032251862731997115
EndToEndDelay,0.02844367580840267
PacketDeliveryRatio,0.014190585267685562
PacketLossRatio,0.007310185083126977
MACLayerOverhead,0.0
HELLOPacketsPerSec,0.0
HNAPacketsPerSec,0.0
EnergyEfficiency,0.0
MACControlPacketsPerSec,0.0
MIDPacketsPerSec,0.0
TotalEnergyConsumed,0.0
